age,gender,region,acquisition_channel,subscription_type,contract_type,tenure_months,monthly_revenue,total_revenue,number_of_products_used,number_of_logins_last_30_days,average_session_duration,feature_usage_score,support_tickets_last_90_days,unresolved_tickets,late_payments,discount_used,payment_method,satisfaction_score,nps_score,last_interaction_days_ago,marketing_email_open_rate,campaign_click_rate,customer_success_calls,renewal_due_in_days,engagement_score,support_pressure_score,payment_risk_score,revenue_per_product,customer_age_group,tenure_group,renewal_risk_flag,high_value_customer_flag,churn
41,Male,North America,Partner,Basic,Monthly,27,55.85,1507.95,2,25,11.27,25.36,4,0,0,False,ACH,7.0,-1,89,0.278,0.079,0,169,23.89,44.0,0,27.92,30-44,Established,False,False,1
38,Female,North America,Partner,Professional,Two-Year,36,156.4,5630.4,3,38,39.88,45.45,3,2,0,False,Credit Card,5.5,1,2,0.582,0.125,0,286,43.63,78.0,0,52.13,30-44,Established,False,False,0
32,Female,North America,Referral,Professional,Annual,30,120.5,3615.0,4,28,37.09,63.12,0,0,0,False,Credit Card,10.0,94,23,0.341,0.027,0,198,40.72,0.0,0,30.12,30-44,Established,False,False,0
60,Female,Asia Pacific,Referral,Business,Monthly,21,325.72,6840.12,4,23,9.32,26.14,4,0,1,True,Credit Card,7.2,22,42,0.345,0.025,0,218,23.08,43.2,26,81.43,60+,Established,False,True,0
25,Male,Latin America,Partner,Basic,Monthly,13,37.88,492.44,2,3,22.87,18.25,2,2,1,False,Invoice,5.7,-13,0,0.584,0.022,2,227,16.46,69.2,18,18.94,18-29,Developing,False,False,0
51,Male,Latin America,Partner,Professional,Monthly,20,95.72,1914.4,8,38,55.65,71.8,4,2,1,False,Invoice,5.9,-20,21,0.292,0.084,5,199,50.71,84.4,18,11.96,45-59,Established,False,False,0
41,Male,Europe,Paid Search,Enterprise,Monthly,36,707.38,25465.68,6,33,47.98,46.09,3,0,0,True,Credit Card,7.5,29,11,0.403,0.084,0,74,40.71,34.0,8,117.9,30-44,Established,False,True,0
28,Male,Asia Pacific,Partner,Business,Monthly,36,316.1,11379.6,2,14,19.2,31.92,6,2,0,False,Credit Card,4.8,-5,24,0.255,0.106,0,108,22.34,100.0,0,158.05,18-29,Established,False,True,0
41,Male,Europe,Outbound Sales,Professional,Annual,22,112.38,2472.36,5,14,28.31,28.82,4,0,0,False,Credit Card,7.8,37,50,0.239,0.008,0,185,21.71,40.8,0,22.48,30-44,Established,False,False,0
58,Male,Europe,Outbound Sales,Business,Monthly,27,317.53,8573.31,4,29,38.97,56.93,1,1,0,False,ACH,8.9,55,27,0.496,0.089,1,162,41.77,30.4,0,79.38,45-59,Established,False,True,0
38,Prefer not to say,North America,Outbound Sales,Professional,Annual,23,122.71,2822.33,4,30,32.25,49.25,1,0,0,False,Invoice,9.3,38,1,0.198,0.056,1,280,35.53,10.8,0,30.68,30-44,Established,False,False,0
34,Prefer not to say,North America,Paid Search,Basic,Two-Year,22,62.68,1378.96,3,24,28.43,39.43,5,2,1,False,Invoice,6.4,30,80,0.608,0.034,0,155,33.24,90.4,18,20.89,30-44,Established,False,False,0
45,Male,Europe,Social,Basic,Monthly,34,36.0,1224.0,2,19,2.26,26.03,0,0,0,False,ACH,8.3,50,36,0.234,0.049,2,281,19.31,6.8,0,18.0,45-59,Established,False,False,0
48,Male,Latin America,Organic Search,Business,Monthly,38,256.94,9763.72,4,45,45.58,63.12,4,1,0,False,Credit Card,6.7,8,61,0.649,0.109,0,276,53.4,63.2,0,64.24,45-59,Long-Term,False,False,0
61,Male,North America,Partner,Enterprise,Monthly,14,697.16,9760.24,5,21,24.61,51.01,2,2,1,False,Credit Card,8.0,73,13,0.377,0.097,1,36,33.12,60.0,18,139.43,60+,Developing,True,True,0
36,Female,Europe,Partner,Basic,Two-Year,34,56.41,1917.94,1,1,1.0,0.0,8,3,0,True,Credit Card,5.2,-10,108,0.242,0.016,2,68,3.18,100.0,8,56.41,30-44,Established,False,False,0
55,Male,North America,Organic Search,Basic,Annual,47,42.59,2001.73,4,22,34.03,45.55,3,1,0,False,Credit Card,6.1,10,27,0.462,0.068,0,353,33.96,57.6,0,10.65,45-59,Long-Term,False,False,0
51,Female,North America,Organic Search,Professional,Monthly,79,89.19,7046.01,4,16,27.72,31.0,4,0,0,False,ACH,8.6,54,17,0.15,0.034,0,315,22.52,37.6,0,22.3,45-59,Long-Term,False,False,0
42,Male,North America,Referral,Business,Monthly,32,283.83,9082.56,6,26,42.54,43.39,2,0,1,True,Credit Card,9.5,74,7,0.603,0.05,0,106,37.64,18.0,26,47.3,30-44,Established,False,False,0
60,Female,Latin America,Partner,Basic,Monthly,36,30.99,1115.64,3,20,22.01,13.41,3,1,1,False,Invoice,7.1,30,45,0.461,0.213,2,198,22.99,53.6,18,10.33,60+,Established,False,False,0
36,Male,North America,Organic Search,Professional,Monthly,91,85.48,7778.68,3,19,24.95,35.13,4,2,0,False,Credit Card,4.8,-26,73,0.482,0.018,1,91,27.79,88.8,0,28.49,30-44,Long-Term,False,False,0
36,Male,North America,Paid Search,Business,Annual,10,379.36,3793.6,4,14,40.88,29.95,4,2,1,False,Credit Card,6.9,15,53,0.364,0.097,2,110,26.17,80.4,18,94.84,30-44,Developing,False,True,0
39,Female,Latin America,Referral,Basic,Annual,36,59.62,2146.32,3,20,40.72,23.96,5,0,0,False,PayPal,6.5,4,2,0.371,0.056,0,10,26.64,54.0,0,19.87,30-44,Established,True,False,0
35,Female,Asia Pacific,Outbound Sales,Professional,Monthly,44,106.5,4686.0,1,23,10.2,26.15,4,1,0,False,ACH,7.5,58,43,0.522,0.029,2,140,25.03,60.0,0,106.5,30-44,Long-Term,False,False,0
54,Female,Europe,Partner,Basic,Monthly,13,49.09,638.17,3,9,18.11,29.21,4,1,2,False,Credit Card,5.6,-7,24,0.126,0.028,0,136,17.1,67.6,36,16.36,45-59,Developing,False,False,0
28,Male,North America,Referral,Professional,Annual,25,149.49,3737.25,4,25,13.48,39.85,6,2,0,False,Credit Card,6.3,37,97,0.542,0.192,0,265,32.36,98.8,0,37.37,18-29,Established,False,False,0
54,Male,Europe,Referral,Basic,Monthly,17,37.36,635.12,1,16,25.9,15.13,2,1,1,False,Invoice,6.6,6,102,0.099,0.032,1,12,16.94,47.6,18,37.36,45-59,Developing,True,False,0
53,Male,North America,Outbound Sales,Professional,Monthly,23,77.14,1774.22,3,18,22.24,39.43,0,0,1,False,Invoice,9.6,74,23,0.371,0.016,0,298,27.09,1.6,18,25.71,45-59,Established,False,False,0
37,Female,North America,Outbound Sales,Business,Monthly,42,232.66,9771.72,6,26,45.52,56.32,5,1,0,False,PayPal,6.6,17,78,0.765,0.086,0,169,43.97,71.6,0,38.78,30-44,Long-Term,False,False,0
33,Female,Europe,Partner,Basic,Annual,44,58.82,2588.08,5,36,31.28,60.36,3,0,1,False,Invoice,8.5,64,39,0.356,0.085,0,236,43.21,30.0,18,11.76,30-44,Long-Term,False,False,0
50,Male,Europe,Paid Search,Basic,Annual,7,69.16,484.12,2,14,40.24,21.63,6,1,0,False,Credit Card,6.0,39,58,0.093,0.038,1,256,20.28,82.0,0,34.58,45-59,Developing,False,False,0
55,Female,Asia Pacific,Organic Search,Professional,Annual,35,126.38,4423.3,1,19,18.72,22.49,4,0,0,False,Credit Card,7.1,45,48,0.474,0.04,1,193,23.16,43.6,0,126.38,45-59,Established,False,False,0
57,Female,Asia Pacific,Organic Search,Professional,Annual,35,100.72,3525.2,3,20,35.03,35.84,9,1,0,False,Credit Card,6.6,31,69,0.63,0.198,1,246,33.31,100.0,0,33.57,45-59,Established,False,False,0
18,Male,Asia Pacific,Referral,Enterprise,Monthly,17,1035.75,17607.75,7,30,52.88,69.98,3,2,2,False,Credit Card,6.5,34,53,0.388,0.06,2,25,46.95,74.0,36,147.96,18-29,Developing,True,True,0
49,Male,North America,Social,Basic,Monthly,17,57.14,971.38,4,30,27.21,48.62,4,2,0,False,Credit Card,8.1,55,5,0.537,0.031,1,219,37.69,75.6,0,14.28,45-59,Developing,False,False,0
39,Male,Europe,Outbound Sales,Professional,Monthly,18,133.29,2399.22,5,30,51.71,57.22,4,0,0,False,ACH,6.9,27,25,0.46,0.128,1,255,44.34,44.4,0,26.66,30-44,Developing,False,False,0
56,Male,North America,Paid Search,Business,Monthly,25,292.6,7315.0,3,26,21.36,34.89,1,1,0,False,ACH,7.1,28,71,0.295,0.128,0,195,29.44,37.6,0,97.53,45-59,Established,False,False,0
31,Male,Europe,Social,Business,Two-Year,51,433.18,22092.18,6,29,24.36,57.71,0,0,0,False,ACH,10.0,73,11,0.321,0.05,2,10,37.56,0.0,0,72.2,30-44,Long-Term,True,True,0
32,Male,Asia Pacific,Paid Search,Business,Monthly,60,437.82,26269.2,2,12,36.13,23.21,5,1,0,False,Credit Card,4.8,-29,4,0.449,0.096,0,165,23.37,78.8,0,218.91,30-44,Long-Term,False,True,0
67,Male,Europe,Organic Search,Enterprise,Monthly,55,1151.17,63314.35,8,29,51.24,53.86,4,0,0,False,Invoice,7.5,46,7,0.374,0.073,2,84,41.41,42.0,0,143.9,60+,Long-Term,False,True,0
39,Prefer not to say,Asia Pacific,Partner,Professional,Monthly,17,103.91,1766.47,1,15,30.84,13.91,5,0,0,False,Invoice,7.4,25,63,0.56,0.162,0,198,22.82,50.4,0,103.91,30-44,Developing,False,False,0
36,Male,Middle East & Africa,Outbound Sales,Professional,Monthly,20,114.12,2282.4,3,17,14.96,24.2,4,2,1,True,Credit Card,4.9,-12,17,0.421,0.043,1,243,21.7,88.4,26,38.04,30-44,Established,False,False,1
68,Male,Europe,Organic Search,Basic,Annual,18,58.1,1045.8,4,26,33.75,46.67,3,0,2,True,ACH,8.7,61,8,0.34,0.146,1,267,35.56,29.2,44,14.52,60+,Developing,False,False,0
57,Female,Asia Pacific,Outbound Sales,Basic,Annual,30,73.75,2212.5,2,6,1.0,12.46,4,1,0,True,ACH,7.0,16,108,0.106,0.056,2,223,8.14,62.0,8,36.88,45-59,Established,False,False,0
53,Male,Asia Pacific,Referral,Business,Annual,63,386.4,24343.2,3,24,22.18,51.15,0,0,0,False,Invoice,10.0,71,41,0.148,0.045,0,200,31.28,0.0,0,128.8,45-59,Long-Term,False,True,0
50,Male,Europe,Paid Search,Professional,Monthly,92,91.23,8393.16,3,10,23.53,33.06,1,0,0,False,Credit Card,9.1,79,18,0.442,0.079,1,37,23.22,11.6,0,30.41,45-59,Long-Term,True,False,0
35,Female,North America,Paid Search,Business,Annual,18,468.77,8437.86,3,12,26.98,30.21,2,2,1,False,Credit Card,4.9,-30,79,0.258,0.08,2,136,21.95,72.4,18,156.26,30-44,Developing,False,True,0
45,Female,North America,Social,Basic,Monthly,18,43.64,785.52,3,26,37.16,34.93,6,1,0,False,ACH,4.4,-37,13,0.485,0.17,0,362,34.27,88.4,0,14.55,45-59,Developing,False,False,0
33,Male,Asia Pacific,Social,Professional,Monthly,26,97.6,2537.6,3,23,27.47,43.14,4,2,0,False,ACH,6.1,27,18,0.232,0.023,2,256,29.89,83.6,0,32.53,30-44,Established,False,False,0
37,Male,Asia Pacific,Paid Search,Basic,Monthly,19,62.13,1180.47,2,14,28.88,33.47,1,1,2,False,Credit Card,7.0,-5,63,0.216,0.016,0,341,23.05,38.0,36,31.06,30-44,Established,False,False,0
38,Male,Latin America,Referral,Enterprise,Monthly,27,910.75,24590.25,4,31,45.85,60.86,2,0,1,True,Credit Card,8.1,62,3,0.312,0.001,4,32,42.19,23.6,26,227.69,30-44,Established,True,True,0
39,Male,North America,Paid Search,Basic,Monthly,40,39.64,1585.6,1,19,27.2,28.9,5,1,0,False,Credit Card,7.4,39,34,0.31,0.025,2,297,24.63,68.4,0,39.64,30-44,Long-Term,False,False,0
33,Male,Europe,Organic Search,Business,Monthly,33,291.67,9625.11,5,25,41.73,50.87,5,3,0,False,Credit Card,4.5,-15,2,0.673,0.146,1,115,40.98,100.0,0,58.33,30-44,Established,False,False,0
27,Male,Europe,Referral,Business,Monthly,24,328.04,7872.96,4,32,32.75,59.52,4,1,1,True,Credit Card,7.4,16,55,0.686,0.066,5,348,44.55,60.4,26,82.01,18-29,Established,False,True,0
24,Male,North America,Referral,Basic,Annual,10,44.17,441.7,1,2,15.97,6.56,4,1,0,True,Credit Card,6.0,12,23,0.128,0.032,0,301,6.96,66.0,8,44.17,18-29,Developing,False,False,0
40,Female,Asia Pacific,Outbound Sales,Basic,Monthly,39,52.45,2045.55,3,17,26.29,33.38,5,3,3,True,ACH,5.5,18,5,0.371,0.101,0,300,26.32,100.0,62,17.48,30-44,Long-Term,False,False,0
32,Male,North America,Organic Search,Enterprise,Monthly,29,1102.35,31968.15,5,34,29.34,36.62,3,1,0,False,ACH,9.1,61,54,0.745,0.072,1,160,38.66,45.6,0,220.47,30-44,Established,False,True,0
46,Male,Europe,Paid Search,Basic,Two-Year,61,71.87,4384.07,2,0,21.44,7.44,2,0,0,False,ACH,8.0,25,62,0.356,0.2,2,113,11.18,24.0,0,35.94,45-59,Long-Term,False,False,0
46,Male,Europe,Organic Search,Basic,Monthly,11,15.84,174.24,3,12,27.65,36.86,2,2,0,False,ACH,5.7,-8,32,0.635,0.039,0,181,27.41,69.2,0,5.28,45-59,Developing,False,False,0
29,Male,Europe,Partner,Basic,Annual,40,49.05,1962.0,2,3,10.45,10.12,1,0,1,False,Invoice,7.2,33,26,0.275,0.028,0,362,9.03,19.2,18,24.52,18-29,Long-Term,False,False,0
46,Female,Asia Pacific,Social,Enterprise,Monthly,29,1145.7,33225.3,6,38,18.2,53.2,2,0,0,False,Credit Card,8.6,79,6,0.413,0.003,1,314,39.62,21.6,0,190.95,45-59,Established,False,True,0
39,Male,Europe,Partner,Enterprise,Monthly,53,934.15,49509.95,8,36,62.95,85.22,2,0,2,False,Invoice,7.7,39,31,0.21,0.007,3,27,53.43,25.2,36,116.77,30-44,Long-Term,True,True,0
31,Male,Europe,Paid Search,Professional,Annual,12,140.93,1691.16,3,19,39.79,40.76,2,1,1,False,Credit Card,7.4,49,95,0.373,0.101,3,156,31.56,44.4,18,46.98,30-44,Developing,False,False,0
55,Male,Europe,Referral,Professional,Monthly,14,93.7,1311.8,4,16,29.28,20.89,2,0,2,False,Credit Card,8.0,38,12,0.61,0.1,1,303,24.99,24.0,36,23.42,45-59,Developing,False,False,0
40,Female,Middle East & Africa,Social,Basic,Monthly,29,47.69,1383.01,1,20,37.54,31.44,5,2,0,False,Invoice,6.1,32,6,0.325,0.057,0,122,27.93,91.6,0,47.69,30-44,Established,False,False,0
36,Female,Asia Pacific,Partner,Basic,Monthly,7,54.41,380.87,1,16,5.24,1.74,4,2,1,False,Invoice,5.9,46,15,0.121,0.009,1,150,9.65,84.4,18,54.41,30-44,Developing,False,False,0
66,Female,North America,Organic Search,Business,Annual,63,470.82,29661.66,6,29,50.91,61.29,1,1,0,True,Credit Card,8.4,33,12,0.348,0.045,2,48,43.04,32.4,8,78.47,60+,Long-Term,False,True,0
38,Female,Asia Pacific,Referral,Professional,Monthly,24,100.09,2402.16,1,15,13.27,5.35,1,0,0,True,ACH,8.7,54,65,0.499,0.123,0,355,16.48,13.2,8,100.09,30-44,Established,False,False,0
30,Female,Europe,Paid Search,Professional,Annual,35,151.65,5307.75,4,27,43.37,48.91,0,0,0,True,Credit Card,10.0,79,23,0.472,0.04,2,282,38.45,0.0,8,37.91,30-44,Established,False,False,0
29,Male,North America,Outbound Sales,Professional,Annual,45,111.75,5028.75,4,18,28.01,33.94,0,0,0,True,Invoice,10.0,83,33,0.335,0.069,0,357,26.52,0.0,8,27.94,18-29,Long-Term,False,False,0
46,Female,North America,Outbound Sales,Basic,Two-Year,27,71.0,1917.0,3,10,14.08,19.28,2,0,0,True,Invoice,7.4,26,107,0.655,0.301,0,36,21.94,26.4,8,23.67,45-59,Established,True,False,0
47,Male,North America,Organic Search,Business,Annual,5,332.35,1661.75,6,31,43.81,61.23,2,0,0,False,Invoice,6.4,30,4,0.556,0.149,0,340,45.9,30.4,0,55.39,45-59,New,False,True,0
35,Male,Europe,Paid Search,Professional,Annual,6,143.74,862.44,7,18,57.87,65.14,1,0,0,False,Credit Card,9.5,61,1,0.56,0.176,1,170,43.91,10.0,0,20.53,30-44,New,False,False,0
37,Female,North America,Referral,Professional,Monthly,33,126.96,4189.68,3,21,34.2,43.64,3,1,0,False,Credit Card,7.9,70,11,0.411,0.114,0,215,32.93,50.4,0,42.32,30-44,Established,False,False,0
60,Male,Latin America,Outbound Sales,Professional,Two-Year,14,146.26,2047.64,2,10,22.87,15.36,3,1,0,False,Credit Card,7.2,14,111,0.259,0.065,0,115,15.83,53.2,0,73.13,60+,Developing,False,False,0
19,Female,Asia Pacific,Outbound Sales,Basic,Two-Year,31,68.56,2125.36,2,14,38.32,32.81,2,0,0,False,ACH,8.1,25,33,0.255,0.025,0,284,24.82,23.6,0,34.28,18-29,Established,False,False,0
42,Male,North America,Paid Search,Professional,Monthly,19,121.08,2300.52,1,15,13.36,16.75,7,1,2,True,Credit Card,7.7,21,38,0.208,0.015,1,2,15.93,83.2,44,121.08,30-44,Established,True,False,0
39,Female,North America,Organic Search,Basic,Monthly,94,58.43,5492.42,4,25,26.02,44.35,1,1,0,False,Credit Card,6.4,49,14,0.524,0.092,0,132,34.51,40.4,0,14.61,30-44,Long-Term,False,False,0
57,Female,North America,Organic Search,Business,Monthly,31,209.12,6482.72,8,36,56.19,66.91,2,0,0,False,Credit Card,8.0,44,41,0.544,0.045,2,286,50.59,24.0,0,26.14,45-59,Established,False,False,0
57,Male,North America,Partner,Business,Two-Year,17,445.76,7577.92,7,22,52.6,60.69,5,1,0,False,Credit Card,5.5,5,29,0.443,0.061,1,360,41.18,76.0,0,63.68,45-59,Developing,False,True,0
31,Prefer not to say,Asia Pacific,Paid Search,Business,Monthly,39,336.47,13122.33,3,16,31.51,20.0,2,0,1,True,Invoice,7.5,62,14,0.303,0.03,1,40,21.31,26.0,26,112.16,30-44,Long-Term,True,True,0
